"","gender","yearsExperience","yearsSchool","wage"
"1","female",9,13,6.3152956461
"2","female",12,12,5.4797699786
"3","female",11,11,3.6421699174
"4","female",9,14,4.5933365997
"5","female",8,14,2.4181574607
"6","female",9,14,2.0940581101
"7","female",8,12,5.5120039196
"8","female",10,12,3.5484271597
"9","female",12,10,5.8182263596
"10","female",7,12,3.8277804998
"11","female",10,14,6.7368936796
"12","female",10,13,12.861342479
"13","female",10,13,7.6555609995
"14","female",9,10,2.4497795198
"15","female",10,13,6.1056621468
"16","female",3,15,8.2680058795
"17","female",9,14,1.8624054829
"18","female",13,11,3.9808917197
"19","female",10,12,4.7634601775
"20","female",11,12,6.3805955861
"21","female",8,14,5.6311238472
"22","female",7,11,2.4880573248
"23","female",7,14,1.2237382772
"24","female",5,12,1.3456535391
"25","female",5,14,0.7511116452
"26","female",10,14,11.330230279
"27","female",11,12,3.8947576562
"28","female",6,13,2.9985152513
"29","female",11,12,3.2678961879
"30","female",9,12,1.3551971812
"31","female",10,14,4.2871141597
"32","female",11,12,7.6249387555
"33","female",11,13,4.4437861058
"34","female",5,12,1.1342814763
"35","female",5,15,9.0641842234
"36","female",12,12,3.9808917197
"37","female",11,12,3.4507052379
"38","female",4,14,8.0967289215
"39","female",10,13,8.7352138308
"40","female",9,15,7.2758451739
"41","female",12,12,5.5120039196
"42","female",8,15,9.786358811
"43","female",7,14,7.0431161195
"44","female",8,11,0.7852717913
"45","female",9,12,4.0087301234
"46","female",10,12,3.6121512769
"47","female",15,7,3.1847133758
"48","female",6,15,5.8182263596
"49","female",10,12,2.2747952684
"50","female",7,16,5.4478926684
"51","female",9,12,2.4035572648
"52","female",8,14,9.0335619794
"53","female",10,13,4.9740959419
"54","female",7,14,9.3276123977
"55","female",10,12,5.8734467996
"56","female",9,12,3.2832096658
"57","female",8,14,2.1435570799
"58","female",5,13,2.5605735685
"59","female",5,14,9.1866731994
"60","female",3,12,2.8351910828
"61","female",10,12,5.8976173626
"62","female",7,12,2.5332947307
"63","female",8,14,8.2680058795
"64","female",8,15,14.102051849
"65","female",9,11,0.7293236738
"66","female",7,11,4.5933365997
"67","female",7,12,3.3777263077
"68","female",10,13,3.1847133758
"69","female",13,9,5.0074109682
"70","female",5,12,2.3189660503
"71","female",9,12,3.387992953
"72","female",10,11,2.4497795198
"73","female",9,13,5.8182263596
"74","female",10,13,5.3588926997
"75","female",7,11,7.1432823382
"76","female",6,12,5.5996360328
"77","female",8,12,3.8277804998
"78","female",6,12,8.0713228206
"79","female",9,12,3.9439174932
"80","female",11,12,6.3455414013
"81","female",7,13,5.4836124351
"82","female",9,13,6.9801937004
"83","female",9,13,10.047012436
"84","female",11,12,5.5120039196
"85","female",8,15,6.2556869882
"86","female",11,12,3.2344745223
"87","female",8,10,1.9183214687
"88","female",4,14,11.091041607
"89","female",8,14,5.1844171234
"90","female",9,14,5.1366344771
"91","female",9,13,4.241819428
"92","female",7,12,3.9028350194
"93","female",11,12,6.7803575098
"94","female",9,12,1.0261854211
"95","female",10,12,4.593064402
"96","female",11,8,0.4386814489
"97","female",9,13,7.3493385595
"98","female",8,12,4.5933365997
"99","female",7,13,4.7245747883
"100","female",6,13,4.8172135096
"101","female",4,12,8.5304822566
"102","female",7,14,6.195187114
"103","female",10,13,4.7046902142
"104","female",10,12,5.083341382
"105","female",6,12,5.790387956
"106","female",7,16,5.103707333
"107","female",7,14,6.9908342396
"108","female",9,12,4.3162052915
"109","female",8,13,7.7100274414
"110","female",5,12,5.7109839017
"111","female",8,12,1.9819297555
"112","female",6,12,5.8175870643
"113","female",9,13,3.6746692798
"114","female",7,13,2.7560019598
"115","female",5,14,4.9481497078
"116","female",9,12,3.9808917197
"117","female",8,13,4.1571449409
"118","female",10,12,4.7444519565
"119","female",8,12,6.6136220264
"120","female",6,13,2.7375759677
"121","female",8,13,5.2495275425
"122","female",8,12,3.9851788339
"123","female",10,12,7.9617834395
"124","female",7,13,6.1182562326
"125","female",8,12,3.1429922399
"126","female",7,13,6.1244487996
"127","female",7,12,4.8621578256
"128","female",8,10,1.8094962362
"129","female",7,12,2.3810941127
"130","female",10,12,3.6746692798
"131","female",9,13,6.984020561
"132","female",9,13,12.248897599
"133","female",10,12,7.3493385595
"134","female",6,12,1.9780828421
"135","female",10,12,3.2153356198
"136","female",6,12,4.7278219187
"137","female",7,13,8.7296711824
"138","female",10,12,6.6546249644
"139","female",8,13,4.6267022409
"140","female",4,11,3.0622243998
"141","female",7,13,5.9061957151
"142","female",9,12,4.4795968363
"143","female",8,12,3.3684468398
"144","female",10,12,2.8070390332
"145","female",5,14,7.7241182622
"146","female",7,13,3.694563081
"147","female",7,14,6.498828198
"148","female",8,13,2.3891985138
"149","female",6,12,4.5933365997
"150","female",8,12,4.5933365997
"151","female",7,11,4.0829658664
"152","female",4,12,2.4560771536
"153","female",8,13,7.6555609995
"154","female",5,14,3.1649325474
"155","female",6,13,4.9425376278
"156","female",7,12,3.6746692798
"157","female",6,10,2.0220402386
"158","female",10,12,9.7991180794
"159","female",6,13,7.5826508948
"160","female",8,13,2.9903411979
"161","female",9,12,4.2871141597
"162","female",6,11,4.5933365997
"163","female",4,12,1.2132241432
"164","female",6,12,6.1244487996
"165","female",7,14,7.1463085564
"166","female",8,11,3.3616418967
"167","female",3,12,2.1435570799
"168","female",6,12,1.9598236159
"169","female",1,13,4.32211101
"170","female",8,12,0.1028907398
"171","female",5,9,2.5477707006
"172","female",8,12,7.9617834395
"173","female",8,12,6.5739496289
"174","female",7,11,4.2871141597
"175","female",4,11,3.2938447178
"176","female",6,12,6.9107704357
"177","female",9,12,4.4479237092
"178","female",5,11,0.7799298063
"179","female",7,12,4.7230918709
"180","female",8,12,3.9317449084
"181","female",8,10,1.3504084986
"182","female",6,13,3.5385704176
"183","female",6,12,2.87054786
"184","female",6,11,2.4811139091
"185","female",4,12,4.1340029397
"186","female",9,12,1.5329546935
"187","female",8,12,2.4497795198
"188","female",6,11,4.4613441687
"189","female",3,13,4.0429136911
"190","female",7,11,3.3684468398
"191","female",7,14,5.1087252083
"192","female",8,11,7.2599848992
"193","female",6,12,8.2680058795
"194","female",9,12,3.2153356198
"195","female",6,12,4.9146811355
"196","female",6,12,5.639596603
"197","female",9,12,4.303666724
"198","female",9,12,4.5933365997
"199","female",7,12,2.7186577598
"200","female",7,12,4.4053672057
"201","female",10,11,2.3828757021
"202","female",7,12,7.9617834395
"203","female",4,11,4.7890426704
"204","female",8,12,9.6096961834
"205","female",6,12,0.9312027415
"206","female",8,11,2.8201186031
"207","female",8,13,3.5107076584
"208","female",9,12,3.9808917197
"209","female",4,12,5.5120039196
"210","female",7,12,2.9488086813
"211","female",5,12,4.5933365997
"212","female",7,10,4.4785031847
"213","female",7,12,3.0421142694
"214","female",3,12,3.5783296357
"215","female",8,12,5.2037800258
"216","female",2,12,2.6154650912
"217","female",8,12,2.7997480227
"218","female",3,12,6.5486530455
"219","female",6,11,4.4855117969
"220","female",9,11,2.6211632723
"221","female",9,12,7.8340542934
"222","female",8,13,6.2784349409
"223","female",8,12,4.5933365997
"224","female",4,13,6.4306712396
"225","female",8,12,5.247725439
