"","gender","yearsExperience","yearsSchool","wage"
"1570","male",10,12,11.45580351
"1571","male",7,14,2.9332886356
"1572","male",12,11,6.2191310837
"1573","male",12,12,6.915377616
"1574","male",11,11,4.9465625755
"1575","male",12,12,5.1345640883
"1576","male",10,12,3.0622243998
"1577","male",7,11,5.5872164488
"1578","male",11,12,7.6555609995
"1579","male",10,14,16.65645071
"1580","male",9,15,3.2168821978
"1581","male",12,12,6.8287604116
"1582","male",8,11,1.0328800138
"1583","male",11,12,3.4909358158
"1584","male",10,12,6.1309990122
"1585","male",11,13,4.6384438443
"1586","male",7,15,7.9617834395
"1587","male",8,15,8.9458240893
"1588","male",9,13,2.4497795198
"1589","male",11,12,2.6329406054
"1590","male",14,8,6.1893722851
"1591","male",9,12,2.0414829332
"1592","male",10,11,1.0927938054
"1593","male",8,14,0.734933856
"1594","male",11,12,3.5031847134
"1595","male",6,14,9.0335619794
"1596","male",9,15,8.7579617834
"1597","male",12,10,4.8995590397
"1598","male",8,13,6.3482658654
"1599","male",11,12,2.9117379436
"1600","male",5,15,3.2663726931
"1601","male",8,12,4.3329433684
"1602","male",10,12,3.2527248964
"1603","male",12,12,10.564674179
"1604","male",12,12,7.944758956
"1605","male",11,12,6.1244487996
"1606","male",15,8,3.2393778775
"1607","male",9,12,2.5294578834
"1608","male",12,11,2.9625240705
"1609","male",16,8,5.7379960804
"1610","male",9,14,9.7991180794
"1611","male",11,12,6.1244487996
"1612","male",9,15,15.716767309
"1613","male",7,12,7.4641719745
"1614","male",9,12,2.359046945
"1615","male",12,12,6.1197413063
"1616","male",8,15,12.204889584
"1617","male",8,12,5.5732484076
"1618","male",13,9,4.4232130219
"1619","male",7,12,10.96849924
"1620","male",12,10,2.0029643873
"1621","male",14,9,7.8392944635
"1622","male",11,12,4.8253232967
"1623","male",9,11,3.3406084361
"1624","male",9,13,6.2782902798
"1625","male",11,10,2.0747318409
"1626","male",10,11,3.6746692798
"1627","male",8,14,5.4109207841
"1628","male",9,13,6.6348195329
"1629","male",6,13,3.3684468398
"1630","male",9,11,6.3553038541
"1631","male",11,12,4.8995590397
"1632","male",9,12,4.7491339815
"1633","male",11,12,2.465584549
"1634","male",11,12,7.0431161195
"1635","male",6,11,2.5922085617
"1636","male",9,11,4.8995590397
"1637","male",6,12,4.9865906805
"1638","male",5,14,3.0755319901
"1639","male",9,12,4.3940855608
"1640","male",7,12,7.7248869077
"1641","male",5,14,14.382576536
"1642","male",10,10,9.6344270192
"1643","male",7,12,5.7382222987
"1644","male",9,10,4.338846561
"1645","male",10,12,4.4113344287
"1646","male",8,14,10.634977516
"1647","male",9,12,7.6963906582
"1648","male",6,14,11.660950514
"1649","male",5,14,1.3846579895
"1650","male",6,13,1.4861995754
"1651","male",4,14,5.0862935947
"1652","male",8,12,9.0346478746
"1653","male",10,11,2.4497795198
"1654","male",14,9,7.1962273395
"1655","male",12,11,5.5120039196
"1656","male",9,12,3.2143846184
"1657","male",13,8,1.0317059529
"1658","male",11,10,6.1244487996
"1659","male",3,15,6.4555000861
"1660","male",4,12,2.3437284584
"1661","male",11,12,4.8995590397
"1662","male",7,14,3.9808917197
