"","gender","wage"
"1","female",6.3152956461
"2","female",5.4797699786
"4","female",4.5933365997
"5","female",2.4181574607
"6","female",2.0940581101
"7","female",5.5120039196
"8","female",3.5484271597
"10","female",3.8277804998
"11","female",6.7368936796
"12","female",12.861342479
"13","female",7.6555609995
"15","female",6.1056621468
"16","female",8.2680058795
"17","female",1.8624054829
"19","female",4.7634601775
"20","female",6.3805955861
"21","female",5.6311238472
"23","female",1.2237382772
"24","female",1.3456535391
"25","female",0.7511116452
"26","female",11.330230279
"27","female",3.8947576562
"28","female",2.9985152513
"29","female",3.2678961879
"30","female",1.3551971812
"31","female",4.2871141597
"32","female",7.6249387555
"33","female",4.4437861058
"34","female",1.1342814763
"35","female",9.0641842234
"36","female",3.9808917197
"37","female",3.4507052379
"38","female",8.0967289215
"39","female",8.7352138308
"40","female",7.2758451739
"41","female",5.5120039196
"42","female",9.786358811
"43","female",7.0431161195
"45","female",4.0087301234
"46","female",3.6121512769
"48","female",5.8182263596
"49","female",2.2747952684
"50","female",5.4478926684
"51","female",2.4035572648
"52","female",9.0335619794
"53","female",4.9740959419
"54","female",9.3276123977
"55","female",5.8734467996
"56","female",3.2832096658
"57","female",2.1435570799
"58","female",2.5605735685
"59","female",9.1866731994
"60","female",2.8351910828
"61","female",5.8976173626
"62","female",2.5332947307
"63","female",8.2680058795
"64","female",14.102051849
"67","female",3.3777263077
"68","female",3.1847133758
"70","female",2.3189660503
"71","female",3.387992953
"73","female",5.8182263596
"74","female",5.3588926997
"76","female",5.5996360328
"77","female",3.8277804998
"78","female",8.0713228206
"79","female",3.9439174932
"80","female",6.3455414013
"81","female",5.4836124351
"82","female",6.9801937004
"83","female",10.047012436
"84","female",5.5120039196
"85","female",6.2556869882
"86","female",3.2344745223
"88","female",11.091041607
"89","female",5.1844171234
"90","female",5.1366344771
"91","female",4.241819428
"92","female",3.9028350194
"93","female",6.7803575098
"94","female",1.0261854211
"95","female",4.593064402
"97","female",7.3493385595
"98","female",4.5933365997
"99","female",4.7245747883
"100","female",4.8172135096
"101","female",8.5304822566
"102","female",6.195187114
"103","female",4.7046902142
"104","female",5.083341382
"105","female",5.790387956
"106","female",5.103707333
"107","female",6.9908342396
"108","female",4.3162052915
"109","female",7.7100274414
"110","female",5.7109839017
"111","female",1.9819297555
"112","female",5.8175870643
"113","female",3.6746692798
"114","female",2.7560019598
"115","female",4.9481497078
"116","female",3.9808917197
"117","female",4.1571449409
"118","female",4.7444519565
"119","female",6.6136220264
"120","female",2.7375759677
"121","female",5.2495275425
"122","female",3.9851788339
"123","female",7.9617834395
"124","female",6.1182562326
"125","female",3.1429922399
"126","female",6.1244487996
"127","female",4.8621578256
"129","female",2.3810941127
"130","female",3.6746692798
"131","female",6.984020561
"132","female",12.248897599
"133","female",7.3493385595
"134","female",1.9780828421
"135","female",3.2153356198
"136","female",4.7278219187
"137","female",8.7296711824
"138","female",6.6546249644
"139","female",4.6267022409
"141","female",5.9061957151
"142","female",4.4795968363
"143","female",3.3684468398
"144","female",2.8070390332
"145","female",7.7241182622
"146","female",3.694563081
"147","female",6.498828198
"148","female",2.3891985138
"149","female",4.5933365997
"150","female",4.5933365997
"152","female",2.4560771536
"153","female",7.6555609995
"154","female",3.1649325474
"155","female",4.9425376278
"156","female",3.6746692798
"158","female",9.7991180794
"159","female",7.5826508948
"160","female",2.9903411979
"161","female",4.2871141597
"163","female",1.2132241432
"164","female",6.1244487996
"165","female",7.1463085564
"167","female",2.1435570799
"168","female",1.9598236159
"169","female",4.32211101
"170","female",0.1028907398
"172","female",7.9617834395
"173","female",6.5739496289
"176","female",6.9107704357
"177","female",4.4479237092
"179","female",4.7230918709
"180","female",3.9317449084
"182","female",3.5385704176
"183","female",2.87054786
"185","female",4.1340029397
"186","female",1.5329546935
"187","female",2.4497795198
"189","female",4.0429136911
"191","female",5.1087252083
"193","female",8.2680058795
"194","female",3.2153356198
"195","female",4.9146811355
"196","female",5.639596603
"197","female",4.303666724
"198","female",4.5933365997
"199","female",2.7186577598
"200","female",4.4053672057
"202","female",7.9617834395
"204","female",9.6096961834
"205","female",0.9312027415
"207","female",3.5107076584
"208","female",3.9808917197
"209","female",5.5120039196
"210","female",2.9488086813
"211","female",4.5933365997
"213","female",3.0421142694
"214","female",3.5783296357
"215","female",5.2037800258
"216","female",2.6154650912
"217","female",2.7997480227
"218","female",6.5486530455
"221","female",7.8340542934
"222","female",6.2784349409
"223","female",4.5933365997
"224","female",6.4306712396
"225","female",5.247725439
"226","female",12.535891451
